"parameter","median","ci_low","ci_high","pd","model","suggested_size","solution_path","n_candidate_terms","n_participants","n_folds","base_rate","validate_search","cv_method"
"Intercept",-0.00221850425,-0.200576941,0.1958543835,0.50996875,"p2_cognition_prepost_asrt_learning",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost",-0.132023065,-0.47192990375,0.2060403,0.7835,"p2_cognition_prepost_asrt_learning",NA,NA,NA,NA,NA,NA,NA,NA
"Intercept",-0.0223203915,-0.255479472,0.211757098,0.57565625,"p2_cognition_prepost_digit_span",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost",0.28651157,0.092955590625,0.48288611,0.9979375,"p2_cognition_prepost_digit_span",NA,NA,NA,NA,NA,NA,NA,NA
"Intercept",0.0102257225,-0.176372565,0.19344569225,0.544125,"p2_cognition_prepost_joint_signaligned",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost",0.300417045,-0.0417445688499999,0.642325583,0.95690625,"p2_cognition_prepost_joint_signaligned",NA,NA,NA,NA,NA,NA,NA,NA
"measureasrt_learning",-0.0170646775,-0.263057231,0.23056955375,0.555125,"p2_cognition_prepost_joint_signaligned",NA,NA,NA,NA,NA,NA,NA,NA
"measurestroop_interference",-0.00641674655,-0.256910405,0.24407969275,0.5214375,"p2_cognition_prepost_joint_signaligned",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost:measureasrt_learning",-0.435421805,-0.9085243325,0.0461934342749995,0.9625,"p2_cognition_prepost_joint_signaligned",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost:measurestroop_interference",-0.14913712,-0.624447232,0.331141203249999,0.72878125,"p2_cognition_prepost_joint_signaligned",NA,NA,NA,NA,NA,NA,NA,NA
"Intercept",0.010213097,-0.17355811875,0.19358152225,0.54315625,"p2_cognition_prepost_joint",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost",0.293883455,-0.0509438433,0.644189144,0.9531875,"p2_cognition_prepost_joint",NA,NA,NA,NA,NA,NA,NA,NA
"measureasrt_learning",-0.015359363,-0.268345004,0.23702655225,0.54709375,"p2_cognition_prepost_joint",NA,NA,NA,NA,NA,NA,NA,NA
"measurestroop_interference",-0.0145695195,-0.2688909505,0.23992282625,0.54359375,"p2_cognition_prepost_joint",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost:measureasrt_learning",-0.423336185,-0.916502036,0.054430494625,0.957375,"p2_cognition_prepost_joint",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost:measurestroop_interference",-0.43038088,-0.91818895825,0.0617638128249994,0.95671875,"p2_cognition_prepost_joint",NA,NA,NA,NA,NA,NA,NA,NA
"Intercept",-0.00306087865,-0.1978109695,0.19317606675,0.51175,"p2_cognition_prepost_stroop_interference",NA,NA,NA,NA,NA,NA,NA,NA
"session_prepost",-0.13741306,-0.492014671,0.21774563475,0.78365625,"p2_cognition_prepost_stroop_interference",NA,NA,NA,NA,NA,NA,NA,NA
"Intercept",2.6786155,2.2454732475,3.112944345,1,"p2_predictive_trajectory_aperiodic_gender",NA,NA,NA,NA,NA,NA,NA,NA
"z_session_time",-0.45177406,-0.63162277925,-0.26596727575,1,"p2_predictive_trajectory_aperiodic_gender",NA,NA,NA,NA,NA,NA,NA,NA
"z_digit_span",0.450446135,0.125669768,0.760454079,0.995875,"p2_predictive_trajectory_aperiodic_gender",NA,NA,NA,NA,NA,NA,NA,NA
"z_stroop",0.0097065772,-0.23338676975,0.253518781,0.53159375,"p2_predictive_trajectory_aperiodic_gender",NA,NA,NA,NA,NA,NA,NA,NA
"z_asrt",0.034673694,-0.25593513475,0.3302171245,0.59384375,"p2_predictive_trajectory_aperiodic_gender",NA,NA,NA,NA,NA,NA,NA,NA
