var1,var2,r,n
digit_span,digit_span,1,58
stroop_interference,digit_span,-0.12433230402415013,57
asrt_learning,digit_span,-0.3467053620679534,58
delta,digit_span,-0.09567502411145636,58
theta,digit_span,-0.09579404086411324,58
alpha,digit_span,-0.03910197241285463,58
beta,digit_span,-0.2721835520903109,58
gamma,digit_span,0.01925654709325916,58
iaf,digit_span,-0.09418284417197498,58
digit_span,stroop_interference,-0.12433230402415013,57
stroop_interference,stroop_interference,1,57
asrt_learning,stroop_interference,-0.07906960468343488,57
delta,stroop_interference,-0.26889290025003104,57
theta,stroop_interference,-0.2665456596494944,57
alpha,stroop_interference,-0.20934384628832464,57
beta,stroop_interference,-0.15125728489624835,57
gamma,stroop_interference,0.11120257102628057,57
iaf,stroop_interference,0.14063569449561017,57
digit_span,asrt_learning,-0.3467053620679534,58
stroop_interference,asrt_learning,-0.07906960468343488,57
asrt_learning,asrt_learning,1,58
delta,asrt_learning,0.18849378266177855,58
theta,asrt_learning,0.08918962503288438,58
alpha,asrt_learning,0.0514190029559173,58
beta,asrt_learning,0.16183665665512462,58
gamma,asrt_learning,-0.13663758832294298,58
iaf,asrt_learning,0.02667280947078822,58
digit_span,delta,-0.09567502411145636,58
stroop_interference,delta,-0.26889290025003104,57
asrt_learning,delta,0.18849378266177855,58
delta,delta,1,58
theta,delta,0.8715023700770997,58
alpha,delta,0.7128556346466505,58
beta,delta,0.6964933482451846,58
gamma,delta,0.16464418873845768,58
iaf,delta,-0.15571820499554723,58
digit_span,theta,-0.09579404086411324,58
stroop_interference,theta,-0.2665456596494944,57
asrt_learning,theta,0.08918962503288438,58
delta,theta,0.8715023700770997,58
theta,theta,1,58
alpha,theta,0.7793911990657709,58
beta,theta,0.7496445860964353,58
gamma,theta,0.1352961659668749,58
iaf,theta,-0.2824622225219122,58
digit_span,alpha,-0.03910197241285463,58
stroop_interference,alpha,-0.20934384628832464,57
asrt_learning,alpha,0.0514190029559173,58
delta,alpha,0.7128556346466505,58
theta,alpha,0.7793911990657709,58
alpha,alpha,1,58
beta,alpha,0.7955986534699367,58
gamma,alpha,0.037352053114653574,58
iaf,alpha,-0.072428740123267693,58
digit_span,beta,-0.2721835520903109,58
stroop_interference,beta,-0.15125728489624835,57
asrt_learning,beta,0.16183665665512462,58
delta,beta,0.6964933482451846,58
theta,beta,0.7496445860964353,58
alpha,beta,0.7955986534699367,58
beta,beta,1,58
gamma,beta,0.31546117242563315,58
iaf,beta,0.004482143313632989,58
digit_span,gamma,0.01925654709325916,58
stroop_interference,gamma,0.11120257102628057,57
asrt_learning,gamma,-0.13663758832294298,58
delta,gamma,0.16464418873845768,58
theta,gamma,0.1352961659668749,58
alpha,gamma,0.037352053114653574,58
beta,gamma,0.31546117242563315,58
gamma,gamma,1,58
iaf,gamma,0.01985552166788385,58
digit_span,iaf,-0.09418284417197498,58
stroop_interference,iaf,0.14063569449561017,57
asrt_learning,iaf,0.02667280947078822,58
delta,iaf,-0.15571820499554723,58
theta,iaf,-0.2824622225219122,58
alpha,iaf,-0.072428740123267693,58
beta,iaf,0.004482143313632989,58
gamma,iaf,0.01985552166788385,58
iaf,iaf,1,58
