"component","version","source","recorded_utc"
"R","4.5.1","fitted object","2026-09-06 10:56:22 UTC"
"brms","2.23.0","fitted object","2026-09-06 10:56:22 UTC"
"CmdStan","2.39.0","fitted object","2026-09-06 10:56:22 UTC"
"cmdstanr","0.9.0","fitted object","2026-09-06 10:56:22 UTC"
"rstan","2.32.7","fitted object","2026-09-06 10:56:22 UTC"
"StanHeaders","2.32.10","fitted object","2026-09-06 10:56:22 UTC"
"posterior","1.7.0","project library","2026-09-06 10:56:22 UTC"
"loo","2.9.0","project library","2026-09-06 10:56:22 UTC"
"projpred","2.10.0","project library","2026-09-06 10:56:22 UTC"
"bayesplot","1.15.0","project library","2026-09-06 10:56:22 UTC"
"mgcv","1.9.4","project library","2026-09-06 10:56:22 UTC"
"MASS","7.3.65","project library","2026-09-06 10:56:22 UTC"
"dplyr","1.2.1","project library","2026-09-06 10:56:22 UTC"
"platform","x86_64-pc-linux-gnu","job environment","2026-09-06 10:56:22 UTC"
"seed:LES_SEED","20260607","shared settings","2026-09-06 10:56:22 UTC"
"record_source","recovered from the fitted objects; see 06b_recover_provenance.R","this script","2026-09-06 10:56:22 UTC"
"fits_written_utc","2026-06-15 22:28:01 UTC to 2026-07-11 10:50:57 UTC","file system","2026-09-06 10:56:22 UTC"
"fits_recorded","p2_predictive_trajectory; p2_predictive_trajectory_gender; p2_predictive_trajectory_aperiodic; p2_predictive_trajectory_aperiodic_gender","this script","2026-09-06 10:56:22 UTC"
